seed,modelo,t_s,coverage
45,Transformer-AF-KD,1.77390,1.00000
45,Transformer-AF-KD,1.80800,1.00000
45,Transformer-AF-KD,1.84210,1.00000
45,Transformer-AF-KD,1.87630,1.00000
45,Transformer-AF-KD,1.91040,1.00000
45,Transformer-AF-KD,1.94450,1.00000
45,Transformer-AF-KD,1.97860,1.00000
45,Transformer-AF-KD,2.01270,1.00000
45,Transformer-AF-KD,2.04680,1.00000
45,Transformer-AF-KD,2.08090,1.00000
45,Transformer-AF-KD,2.11510,1.00000
45,Transformer-AF-KD,2.14920,1.00000
45,Transformer-AF-KD,2.18330,1.00000
45,Transformer-AF-KD,2.21740,1.00000
45,Transformer-AF-KD,2.25150,1.00000
45,Transformer-AF-KD,2.28560,1.00000
45,Transformer-AF-KD,2.31970,1.00000
45,Transformer-AF-KD,2.35380,1.00000
45,Transformer-AF-KD,2.38800,1.00000
45,Transformer-AF-KD,2.42210,1.00000
45,Transformer-AF-KD,2.45620,1.00000
45,Transformer-AF-KD,2.49030,1.00000
45,Transformer-AF-KD,2.52440,1.00000
45,Transformer-AF-KD,2.55850,1.00000
45,Transformer-AF-KD,2.59260,1.00000
45,Transformer-AF-KD,2.62680,1.00000
45,Transformer-AF-KD,2.66090,1.00000
45,Transformer-AF-KD,2.69500,1.00000
45,Transformer-AF-KD,2.72910,1.00000
45,Transformer-AF-KD,2.76320,1.00000
45,Transformer-AF-KD,2.79730,1.00000
45,Transformer-AF-KD,2.83140,1.00000
45,Transformer-AF-KD,2.86560,1.00000
45,Transformer-AF-KD,2.89970,1.00000
45,Transformer-AF-KD,2.93380,1.00000
45,Transformer-AF-KD,2.96790,1.00000
45,Transformer-AF-KD,3.00200,1.00000
45,Transformer-AF-KD,3.03610,1.00000
45,Transformer-AF-KD,3.07020,1.00000
45,Transformer-AF-KD,3.10430,1.00000
45,Transformer-AF-KD,3.13850,1.00000
45,Transformer-AF-KD,3.17260,1.00000
45,Transformer-AF-KD,3.20670,1.00000
45,Transformer-AF-KD,3.24080,1.00000
45,Transformer-AF-KD,3.27490,1.00000
45,Transformer-AF-KD,3.30900,1.00000
45,Transformer-AF-KD,3.34310,1.00000
45,Transformer-AF-KD,3.37730,1.00000
45,Transformer-AF-KD,3.41140,1.00000
45,Transformer-AF-KD,3.44550,1.00000
45,Transformer-AF-KD,3.47960,1.00000
45,Transformer-AF-KD,3.51370,1.00000
45,Transformer-AF-KD,3.54780,1.00000
45,Transformer-AF-KD,3.58190,1.00000
45,Transformer-AF-KD,3.61610,1.00000
45,Transformer-AF-KD,3.65020,1.00000
45,Transformer-AF-KD,3.68430,1.00000
45,Transformer-AF-KD,3.71840,1.00000
45,Transformer-AF-KD,3.75250,1.00000
45,Transformer-AF-KD,3.78660,1.00000
45,Transformer-AF-KD,3.82070,1.00000
45,Transformer-AF-KD,3.85480,1.00000
45,Transformer-AF-KD,3.88900,1.00000
45,Transformer-AF-KD,3.92310,1.00000
45,Transformer-AF-KD,3.95720,1.00000
45,Transformer-AF-KD,3.99130,1.00000
45,Transformer-AF-KD,4.02540,1.00000
45,Transformer-AF-KD,4.05950,1.00000
45,Transformer-AF-KD,4.09360,1.00000
45,Transformer-AF-KD,4.12780,1.00000
45,Transformer-AF-KD,4.16190,1.00000
45,Transformer-AF-KD,4.19600,1.00000
45,Transformer-AF-KD,4.23010,1.00000
45,Transformer-AF-KD,4.26420,1.00000
45,Transformer-AF-KD,4.29830,1.00000
45,Transformer-AF-KD,4.33240,1.00000
45,Transformer-AF-KD,4.36660,1.00000
45,Transformer-AF-KD,4.40070,1.00000
45,Transformer-AF-KD,4.43480,1.00000
45,Transformer-AF-KD,4.46890,1.00000
45,Transformer-AF-KD,4.50300,1.00000
45,Transformer-AF-KD,4.53710,1.00000
45,Transformer-AF-KD,4.57120,1.00000
45,Transformer-AF-KD,4.60540,1.00000
45,Transformer-AF-KD,4.63950,1.00000
45,Transformer-AF-KD,4.67360,1.00000
45,Transformer-AF-KD,4.70770,1.00000
45,Transformer-AF-KD,4.74180,1.00000
45,Transformer-AF-KD,4.77590,1.00000
45,Transformer-AF-KD,4.81000,1.00000
45,Transformer-AF-KD,4.84410,1.00000
45,Transformer-AF-KD,4.87830,1.00000
45,Transformer-AF-KD,4.91240,1.00000
45,Transformer-AF-KD,4.94650,1.00000
45,Transformer-AF-KD,4.98060,1.00000
45,Transformer-AF-KD,5.01470,1.00000
45,Transformer-AF-KD,5.04880,1.00000
45,Transformer-AF-KD,5.08290,1.00000
45,Transformer-AF-KD,5.11710,1.00000
45,Transformer-AF-KD,5.15120,1.00000
45,Transformer-AF-KD,5.18530,1.00000
45,Transformer-AF-KD,5.21940,1.00000
45,Transformer-AF-KD,5.25350,1.00000
45,Transformer-AF-KD,5.28760,1.00000
45,Transformer-AF-KD,5.32170,1.00000
45,Transformer-AF-KD,5.35590,1.00000
45,Transformer-AF-KD,5.39000,1.00000
45,Transformer-AF-KD,5.42410,1.00000
45,Transformer-AF-KD,5.45820,1.00000
45,Transformer-AF-KD,5.49230,1.00000
45,Transformer-AF-KD,5.52640,1.00000
45,Transformer-AF-KD,5.56050,1.00000
45,Transformer-AF-KD,5.59460,1.00000
45,Transformer-AF-KD,5.62880,1.00000
45,Transformer-AF-KD,5.66290,1.00000
45,Transformer-AF-KD,5.69700,1.00000
45,Transformer-AF-KD,5.73110,1.00000
45,Transformer-AF-KD,5.76520,1.00000
45,Transformer-AF-KD,5.79930,1.00000
45,Transformer-AF-KD,5.83340,1.00000
45,Transformer-AF-KD,5.86760,1.00000
45,Transformer-AF-KD,5.90170,1.00000
45,Transformer-AF-KD,5.93580,1.00000
45,Transformer-AF-KD,5.96990,1.00000
45,Transformer-AF-KD,6.00400,1.00000
45,Transformer-AF-KD,6.03810,1.00000
45,Transformer-AF-KD,6.07220,1.00000
45,Transformer-AF-KD,6.10640,1.00000
45,Transformer-AF-KD,6.14050,1.00000
45,Transformer-AF-KD,6.17460,1.00000
45,Transformer-AF-KD,6.20870,1.00000
45,Transformer-AF-KD,6.24280,1.00000
45,Transformer-AF-KD,6.27690,1.00000
45,Transformer-AF-KD,6.31100,1.00000
45,Transformer-AF-KD,6.34520,1.00000
45,Transformer-AF-KD,6.37930,1.00000
45,Transformer-AF-KD,6.41340,1.00000
45,Transformer-AF-KD,6.44750,1.00000
45,Transformer-AF-KD,6.48160,1.00000
45,Transformer-AF-KD,6.51570,1.00000
45,Transformer-AF-KD,6.54980,1.00000
45,Transformer-AF-KD,6.58390,1.00000
45,Transformer-AF-KD,6.61810,1.00000
45,Transformer-AF-KD,6.65220,1.00000
45,Transformer-AF-KD,6.68630,1.00000
45,Transformer-AF-KD,6.72040,1.00000
45,Transformer-AF-KD,6.75450,1.00000
45,Transformer-AF-KD,6.78860,1.00000
45,Transformer-AF-KD,6.82270,1.00000
45,Transformer-AF-KD,6.85690,1.00000
45,Transformer-AF-KD,6.89100,1.00000
45,Transformer-AF-KD,6.92510,1.00000
45,Transformer-AF-KD,6.95920,1.00000
45,Transformer-AF-KD,6.99330,1.00000
45,Transformer-AF-KD,7.02740,1.00000
45,Transformer-AF-KD,7.06150,1.00000
45,Transformer-AF-KD,7.09570,1.00000
45,Transformer-AF-KD,7.12980,1.00000
45,Transformer-AF-KD,7.16390,1.00000
45,Transformer-AF-KD,7.19800,1.00000
45,Transformer-AF-KD,7.23210,1.00000
45,Transformer-AF-KD,7.26620,1.00000
45,Transformer-AF-KD,7.30030,1.00000
45,Transformer-AF-KD,7.33440,1.00000
45,Transformer-AF-KD,7.36860,1.00000
45,Transformer-AF-KD,7.40270,1.00000
45,Transformer-AF-KD,7.43680,1.00000
45,Transformer-AF-KD,7.47090,1.00000
45,Transformer-AF-KD,7.50500,1.00000
45,Transformer-AF-KD,7.53910,1.00000
45,Transformer-AF-KD,7.57320,1.00000
45,Transformer-AF-KD,7.60740,1.00000
45,Transformer-AF-KD,7.64150,1.00000
45,Transformer-AF-KD,7.67560,1.00000
45,Transformer-AF-KD,7.70970,1.00000
45,Transformer-AF-KD,7.74380,1.00000
45,Transformer-AF-KD,7.77790,1.00000
45,Transformer-AF-KD,7.81200,1.00000
45,Transformer-AF-KD,7.84620,1.00000
45,Transformer-AF-KD,7.88030,1.00000
45,Transformer-AF-KD,7.91440,1.00000
45,Transformer-AF-KD,7.94850,1.00000
45,Transformer-AF-KD,7.98260,1.00000
45,Transformer-AF-KD,8.01670,1.00000
45,Transformer-AF-KD,8.05080,1.00000
45,Transformer-AF-KD,8.08490,1.00000
45,Transformer-AF-KD,8.11910,1.00000
45,Transformer-AF-KD,8.15320,1.00000
45,Transformer-AF-KD,8.18730,1.00000
45,Transformer-AF-KD,8.22140,1.00000
45,Transformer-AF-KD,8.25550,1.00000
45,Transformer-AF-KD,8.28960,1.00000
45,Transformer-AF-KD,8.32370,1.00000
45,Transformer-AF-KD,8.35790,1.00000
45,Transformer-AF-KD,8.39200,1.00000
45,Transformer-AF-KD,8.42610,1.00000
45,Transformer-AF-KD,8.46020,1.00000
45,Transformer-AF-KD,8.49430,1.00000
45,Transformer-AF-KD,8.52840,1.00000
45,Transformer-AF-KD,8.56250,1.00000
45,Transformer-AF-KD,8.59670,1.00000
45,Transformer-AF-KD,8.63080,1.00000
45,Transformer-AF-KD,8.66490,1.00000
45,Transformer-AF-KD,8.69900,1.00000
45,Transformer-AF-KD,8.73310,1.00000
45,Transformer-AF-KD,8.76720,1.00000
45,Transformer-AF-KD,8.80130,1.00000
45,Transformer-AF-KD,8.83550,1.00000
45,Transformer-AF-KD,8.86960,1.00000
45,Transformer-AF-KD,8.90370,1.00000
45,Transformer-AF-KD,8.93780,1.00000
45,Transformer-AF-KD,8.97190,1.00000
45,Transformer-AF-KD,9.00600,1.00000
45,Transformer-AF-KD,9.04010,1.00000
45,Transformer-AF-KD,9.07420,1.00000
45,Transformer-AF-KD,9.10840,1.00000
45,Transformer-AF-KD,9.14250,1.00000
45,Transformer-AF-KD,9.17660,1.00000
45,Transformer-AF-KD,9.21070,1.00000
45,Transformer-AF-KD,9.24480,1.00000
45,Transformer-AF-KD,9.27890,1.00000
45,Transformer-AF-KD,9.31300,1.00000
45,Transformer-AF-KD,9.34720,1.00000
45,Transformer-AF-KD,9.38130,1.00000
45,Transformer-AF-KD,9.41540,1.00000
45,Transformer-AF-KD,9.44950,1.00000
45,Transformer-AF-KD,9.48360,1.00000
45,Transformer-AF-KD,9.51770,1.00000
45,Transformer-AF-KD,9.55180,1.00000
45,Transformer-AF-KD,9.58600,1.00000
45,Transformer-AF-KD,9.62010,1.00000
45,Transformer-AF-KD,9.65420,1.00000
45,Transformer-AF-KD,9.68830,1.00000
45,Transformer-AF-KD,9.72240,1.00000
45,Transformer-AF-KD,9.75650,1.00000
45,Transformer-AF-KD,9.79060,1.00000
45,Transformer-AF-KD,9.82470,1.00000
45,Transformer-AF-KD,9.85890,1.00000
45,Transformer-AF-KD,9.89300,1.00000
45,Transformer-AF-KD,9.92710,1.00000
45,Transformer-AF-KD,9.96120,1.00000
45,Transformer-AF-KD,9.99530,1.00000
45,Transformer-AF-KD,10.02940,1.00000
45,Transformer-AF-KD,10.06350,1.00000
45,Transformer-AF-KD,10.09770,1.00000
45,Transformer-AF-KD,10.13180,1.00000
45,Transformer-AF-KD,10.16590,1.00000
45,Transformer-AF-KD,10.20000,1.00000
